Text,One_Hot_Label,Emotion_Label,Character_Count,Word_Count
during the period of falling in love each time that we met and especially when we had not met for a long time,"[1, 0, 0, 0, 0, 0, 0]",joy,111,23
when i was involved in a traffic accident,"[0, 1, 0, 0, 0, 0, 0]",fear,42,8
when i was driving home after several days of hard work there was a motorist ahead of me who was driving at NUM km hour and refused despite his low speeed to let me overtake,"[0, 0, 1, 0, 0, 0, 0]",anger,176,34
when i lost the person who meant the most to me,"[0, 0, 0, 1, 0, 0, 0]",sadness,48,11
the time i knocked a deer down the sight of the animal injuries and helplessness the realization that the animal was so badly hurt that it had to be put down and when the animal screamed at the moment of death,"[0, 0, 0, 0, 1, 0, 0]",disgust,217,42
when i did not speak the truth,"[0, 0, 0, 0, 0, 1, 0]",shame,31,7
when i caused problems for somebody because he could not keep the appointed time and this led to various consequences,"[0, 0, 0, 0, 0, 0, 1]",guilt,118,20
when i got a letter offering me the summer job that i had applied for,"[1, 0, 0, 0, 0, 0, 0]",joy,70,15
when i was going home alone one night in paris and a man came up behind me and asked me if i was not afraid to be out alone so late at night,"[0, 1, 0, 0, 0, 0, 0]",fear,141,33
when i was talking to him at a party for the first time in a long while and a friend came and interrupted us and he left,"[0, 0, 1, 0, 0, 0, 0]",anger,121,27
when my friends did not ask me to go to a new year party with them,"[0, 0, 0, 1, 0, 0, 0]",sadness,69,16
when i saw all the very drunk kids NUM NUM years old in town on walpurgis night,"[0, 0, 0, 0, 1, 0, 0]",disgust,80,16
when i could not remember what to say about a presentation task at an accounts meeting,"[0, 0, 0, 0, 0, 1, 0]",shame,87,16
when my uncle and my neighbour came home under police escort,"[0, 0, 0, 0, 0, 0, 1]",guilt,61,11
on days when i feel close to my partner and other friends when i feel at peace with myself and also experience a close contact with people whom i regard greatly,"[1, 0, 0, 0, 0, 0, 0]",joy,163,31
every time i imagine that someone i love or i could contact a serious illness even death,"[0, 1, 0, 0, 0, 0, 0]",fear,90,17
when i had been obviously unjustly treated and had no possibility of elucidating this,"[0, 0, 1, 0, 0, 0, 0]",anger,86,14
when i think about the short time that we live and relate it to the periods of my life when i think that i did not use this short time,"[0, 0, 0, 1, 0, 0, 0]",sadness,135,30
at a gathering i found myself involuntarily sitting next to two people who expressed opinions that i considered very low and discriminating,"[0, 0, 0, 0, 1, 0, 0]",disgust,140,22
when i realized that i was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings,"[0, 0, 0, 0, 0, 1, 0]",shame,178,34
i feel guilty when when i realize that i consider material things more important than caring for my relatives i feel very self centered,"[0, 0, 0, 0, 0, 0, 1]",guilt,138,23
after my girlfriend had taken her exam we went to her parent place,"[1, 0, 0, 0, 0, 0, 0]",joy,69,13
when for the first time i realized the meaning of death,"[0, 1, 0, 0, 0, 0, 0]",fear,57,11
when a car is overtaking another and i am forced to drive off the road,"[0, 0, 1, 0, 0, 0, 0]",anger,71,15
when i recently thought about the hard work it takes to study and how one wants to try something else when i read a theoretical book in english that i did not understand,"[0, 0, 0, 1, 0, 0, 0]",sadness,174,33
when i found a bristle in the liver paste tube,"[0, 0, 0, 0, 1, 0, 0]",disgust,47,10
when i was tired and unmotivated i shouted at my girlfriend and and brought up negative sides of her character which are actually not so important,"[0, 0, 0, 0, 0, 1, 0]",shame,148,26
when i think that i do not study enough after the weekend i think that i should have been able to have accomplished something during that time,"[0, 0, 0, 0, 0, 0, 1]",guilt,145,27
when i pass an examination which i did not think i did well,"[1, 0, 0, 0, 0, 0, 0]",joy,60,13
when one has arranged to meet someone and that person arrives late in the meantime one starts thinking about all that could have gone wrong e g a traffic accident,"[0, 1, 0, 0, 0, 0, 0]",fear,164,29
when one is unjustly accused of something one has not done,"[0, 0, 1, 0, 0, 0, 0]",anger,59,11
when one studies seem hopelessly difficult and uninteresting,"[0, 0, 0, 1, 0, 0, 0]",sadness,63,8
when one finds out that someone you know is not at all like one had thought for instance friends who steal and things like that quite unwarranted,"[0, 0, 0, 0, 1, 0, 0]",disgust,148,27
when one has been unjust stupid towards someone else,"[0, 0, 0, 0, 0, 1, 0]",shame,54,9
when one has neglected or been unjust to a good friend,"[0, 0, 0, 0, 0, 0, 1]",guilt,55,11
passing an exam i did not expect to pass,"[1, 0, 0, 0, 0, 0, 0]",joy,41,9
when i climbed up a tree to pick apples the angle of the ladder i was on did not enable me to get high enough this implied that the ladder was not very stable,"[0, 1, 0, 0, 0, 0, 0]",fear,163,34
friends who torture animals,"[0, 0, 1, 0, 0, 0, 0]",anger,28,4
same as in anger,"[0, 0, 0, 1, 0, 0, 0]",sadness,17,4
friends who torture animals,"[0, 0, 0, 0, 1, 0, 0]",disgust,28,4
same as above friends who torture animals,"[0, 0, 0, 0, 0, 1, 0]",shame,44,8
when excuses are necessary and i get out of doing it myself,"[0, 0, 0, 0, 0, 0, 1]",guilt,60,12
when i had my children,"[1, 0, 0, 0, 0, 0, 0]",joy,23,5
when my NUM year old son climbed up and sat on the NUM floor balcony with his legs hanging out he was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down,"[0, 1, 0, 0, 0, 0, 0]",fear,216,44
when my partner was attacked and lost three teeth,"[0, 0, 1, 0, 0, 0, 0]",anger,50,9
when i see children on t v from areas devastated by drought and war,"[0, 0, 0, 1, 0, 0, 0]",sadness,68,13
when i nearly walked on a blindworm and then saw it crawl away,"[0, 0, 0, 0, 1, 0, 0]",disgust,63,13
when i saw my NUM year old son grab an oxygen mask as he had breathing difficulties i had a bad conscience because i had not stopped smoking medication for the dilation of his breathing tubes also caused a sense of guilt in me,"[0, 0, 0, 0, 0, 1, 0]",shame,230,44
i experience a sense of guilt as my middle son cannot express himself like other children neither verbally nor in writing,"[0, 0, 0, 0, 0, 0, 1]",guilt,123,21
when my child was born,"[1, 0, 0, 0, 0, 0, 0]",joy,23,5
it was winter spring and the ice was melting i was far out on a jetty and i poked the ice with a long branch to try and break it the branch went through the ice and i fell in the water closed in over my head,"[0, 1, 0, 0, 0, 0, 0]",fear,213,46
unjust accusations directed at me and my way of acting by someone close to me,"[0, 0, 1, 0, 0, 0, 0]",anger,79,15
failing an examination,"[0, 0, 0, 1, 0, 0, 0]",sadness,23,3
a drunkard fell started bleeding and wet himself disgust that turned into sadness unpleasantness,"[0, 0, 0, 0, 1, 0, 0]",disgust,100,13
when as an adult i have been caught lying or behaving badly,"[0, 0, 0, 0, 0, 1, 0]",shame,61,12
when i am in an environment or with a person much worse off than me i realize how privileged i am,"[0, 0, 0, 0, 0, 0, 1]",guilt,99,21
when i saw a person i had not seen for a long time,"[1, 0, 0, 0, 0, 0, 0]",joy,51,13
when as a child i was nearly knocked down by a car,"[0, 1, 0, 0, 0, 0, 0]",fear,53,12
when i heard on the radio that the football match in belgium had ended in a catastrophe and several people had died i could not understand how normal people could behave in such a way,"[0, 0, 1, 0, 0, 0, 0]",anger,188,35
